Time,T1,T2,T3,T4
1240,85.089195,50.23504,24.524311,6.19025
1250,85.135254,50.35088,24.614347,6.215435
1260,85.18068,50.465427,24.703966,6.2406535
1270,85.2255,50.57875,24.793152,6.265903
1280,85.269684,50.690834,24.881908,6.2911777
1290,85.31324,50.801758,24.97021,6.3164716
1300,85.35624,50.911472,25.058054,6.3417726
1310,85.39866,51.02001,25.145456,6.367077
1320,85.44053,51.127445,25.232407,6.3923774
1330,85.48187,51.233753,25.318865,6.4176655
1340,85.5227,51.338936,25.404871,6.442946
1350,85.56297,51.443012,25.490402,6.4682007
1360,85.60271,51.546017,25.575453,6.4934273
1370,85.64195,51.647987,25.66004,6.5186195
1380,85.68067,51.748886,25.744127,6.54377
1390,85.71894,51.84876,25.827738,6.5688806
1400,85.756775,51.947617,25.910854,6.5939393
1410,85.79408,52.045456,25.993473,6.6189456
1420,85.83099,52.142334,26.075632,6.6438947
1430,85.867424,52.23824,26.157246,6.668782
1440,85.90345,52.333183,26.238388,6.693601
1450,85.93899,52.427193,26.319029,6.7183537
1460,85.974106,52.52025,26.399162,6.74303
1470,86.00882,52.6124,26.47882,6.767631
1480,86.0431,52.70365,26.557953,6.7921505
1490,86.07698,52.794,26.636593,6.8165874
1500,86.11045,52.88344,26.714718,6.8409376
1510,86.14356,52.972027,26.792366,6.8651967
1520,86.17628,53.05977,26.869484,6.8893604
1530,86.20863,53.14666,26.946108,6.9134264
1540,86.24068,53.232697,27.022226,6.9374046
1550,86.27239,53.317917,27.097834,6.9612827
1560,86.30375,53.40233,27.17295,6.9850535
1570,86.33473,53.485912,27.247555,7.0087237
1580,86.36537,53.56871,27.321651,7.0322866
1590,86.395645,53.650776,27.395258,7.0557394
1600,86.42559,53.73201,27.468359,7.0790787
1610,86.45523,53.81249,27.54094,7.1023083
1620,86.484535,53.892235,27.613056,7.1254253
1630,86.51348,53.97123,27.684647,7.148425
1640,86.54212,54.049458,27.755737,7.1713114
1650,86.570465,54.12699,27.82632,7.1940756
1660,86.59852,54.2038,27.896437,7.216721
1670,86.62628,54.279892,27.96605,7.2392497
1680,86.65371,54.35529,28.035172,7.2616515
1690,86.68107,54.42998,28.103785,7.2839365
1700,86.70796,54.504,28.171944,7.3060923
1710,86.73458,54.57733,28.239592,7.3281245
1720,86.76093,54.649986,28.306759,7.3500295
1730,86.787,54.721985,28.373451,7.371812
1740,86.8128,54.793335,28.439644,7.3934655
1750,86.838394,54.86403,28.505354,7.4149914
1760,86.86371,54.934086,28.570595,7.436389
1770,86.88873,55.003517,28.635353,7.457661
1780,86.91343,55.072296,28.699638,7.478799
1790,86.938,55.140503,28.763453,7.499813
1800,86.96213,55.20803,28.826807,7.520697
1810,86.98615,55.275013,28.889675,7.5414505
1820,87.01008,55.341362,28.952074,7.562062
1830,87.03376,55.407154,29.014011,7.5825615
1840,87.05713,55.47233,29.07551,7.6029253
1850,87.08032,55.536934,29.136532,7.6231565
1860,87.103264,55.600964,29.197083,7.6432557
1870,87.12595,55.664425,29.257214,7.6632257
1880,87.148476,55.727345,29.316872,7.683063
1890,87.170715,55.78969,29.376076,7.702769
1900,87.19275,55.851505,29.434849,7.722341
1910,87.21456,55.912754,29.49316,7.7417884
1920,87.23615,55.97347,29.55104,7.7611027
1930,87.25759,56.03365,29.608486,7.7802863
1940,87.27881,56.09331,29.665468,7.799342
1950,87.29981,56.15245,29.72203,7.818257
1960,87.32062,56.211056,29.778166,7.8370547
1970,87.3412,56.269184,29.83386,7.8557158
1980,87.36161,56.326782,29.889128,7.874246
1990,87.38183,56.383907,29.943953,7.8926473
2000,87.401855,56.4405,29.99839,7.910922
2010,87.421715,56.496582,30.05238,7.9290667
2020,87.44136,56.55225,30.105963,7.9470854
2030,87.46083,56.607372,30.159132,7.964977
2040,87.48011,56.662064,30.21187,7.9827385
2050,87.49929,56.716255,30.264217,8.000378
2060,87.51825,56.77,30.316164,8.017887
2070,87.537094,56.82324,30.367699,8.035267
2080,87.555725,56.876087,30.41883,8.052525
2090,87.5742,56.928448,30.469566,8.069658
2100,87.5925,56.98037,30.519901,8.086668
2110,87.61063,57.031837,30.569847,8.10355
2120,87.62853,57.082874,30.619402,8.120307
2130,87.64633,57.133453,30.668577,8.136943
2140,87.664,57.183613,30.717352,8.153458
2150,87.68146,57.23336,30.765734,8.1698475
2160,87.6988,57.28267,30.813778,8.186119
2170,87.71596,57.33156,30.861387,8.202269
2180,87.73295,57.380024,30.90866,8.218294
2190,87.74978,57.42811,30.95555,8.234205
2200,87.766426,57.475735,31.002075,8.249999
2210,87.78297,57.522984,31.048214,8.265673
2220,87.79935,57.56983,31.09401,8.281224
2230,87.81559,57.616287,31.13943,8.296661
2240,87.83175,57.662334,31.184496,8.311985
2250,87.84774,57.708008,31.229193,8.3271885
2260,87.86361,57.753273,31.273531,8.34228
2270,87.87935,57.798164,31.317526,8.35725
2280,87.89491,57.842667,31.36116,8.372114
2290,87.91039,57.886803,31.404455,8.386865
2300,87.92569,57.930573,31.447407,8.401499
2310,87.94088,57.973965,31.490019,8.41602
2320,87.955925,58.017017,31.532286,8.430431
2330,87.97085,58.059692,31.574219,8.444731
2340,87.985634,58.102016,31.615818,8.458927
2350,88.000275,58.143963,31.657091,8.473006
2360,88.01476,58.185593,31.698029,8.486974
2370,88.02912,58.226795,31.738628,8.500842
2380,88.04337,58.26773,31.778923,8.514589
2390,88.05751,58.3083,31.818876,8.52825
2400,88.07155,58.348534,31.858507,8.541794
2410,88.08546,58.38844,31.89783,8.555227
2420,88.09922,58.428013,31.936829,8.56856
2430,88.112854,58.467236,31.975521,8.581793
2440,88.1264,58.506126,32.013905,8.594919
2450,88.13979,58.544697,32.051975,8.607944
2460,88.15307,58.582928,32.08974,8.620866
2470,88.166275,58.620842,32.127205,8.633685
2480,88.17933,58.65846,32.164356,8.64641
2490,88.19229,58.69575,32.20122,8.659028
2500,88.205154,58.732735,32.23779,8.671553
2510,88.21794,58.76943,32.27406,8.683975
2520,88.230606,58.8058,32.31003,8.696298
2530,88.243164,58.84186,32.345726,8.708527
2540,88.25562,58.877625,32.381138,8.720656
2550,88.26794,58.913105,32.41625,8.732674
2560,88.280136,58.948277,32.451088,8.744616
2570,88.29226,58.98317,32.485622,8.756468
2580,88.30428,59.017773,32.51991,8.76822
2590,88.3162,59.05204,32.553886,8.7798815
2600,88.32801,59.08607,32.58761,8.791448
2610,88.33974,59.119804,32.621056,8.802919
2620,88.35137,59.153244,32.654232,8.8143015
2630,88.36287,59.186436,32.687126,8.825594
2640,88.374275,59.219334,32.71975,8.836799
2650,88.385574,59.251957,32.75212,8.847908
2660,88.396774,59.28432,32.784233,8.85894
2670,88.40792,59.3164,32.816074,8.869872
2680,88.4189,59.348225,32.847668,8.88072
2690,88.42983,59.379765,32.878994,8.891482
2700,88.44072,59.411064,32.91007,8.902159
2710,88.45145,59.442093,32.9409,8.912751
2720,88.4622,59.472874,32.97147,8.92325
2730,88.47281,59.503407,33.001797,8.933677
2740,88.483315,59.533688,33.03189,8.944011
2750,88.49374,59.563705,33.061726,8.954265
2760,88.504036,59.593494,33.091316,8.964438
2770,88.514244,59.622997,33.120678,8.974532
2780,88.52439,59.65228,33.14978,8.984539
2790,88.53445,59.681347,33.178673,8.994475
2800,88.54437,59.710133,33.207317,9.004324
2810,88.55429,59.738686,33.23572,9.014092
2820,88.56407,59.767014,33.263897,9.023779
2830,88.57378,59.795116,33.29185,9.033393
2840,88.58343,59.823017,33.31959,9.042924
2850,88.593025,59.85065,33.347042,9.052385
2860,88.602516,59.878067,33.374363,9.061771
2870,88.611984,59.905308,33.401398,9.071078
2880,88.62132,59.932194,33.428246,9.080309
2890,88.63057,59.958946,33.45485,9.089461
2900,88.639786,59.985443,33.48124,9.098533
2910,88.648865,60.011753,33.507412,9.10754
2920,88.65792,60.03781,33.53337,9.116482
2930,88.66686,60.06372,33.55912,9.125347
2940,88.675766,60.08936,33.584675,9.134144
2950,88.684555,60.114784,33.610004,9.142867
2960,88.69328,60.14001,33.635117,9.15152
2970,88.70196,60.16501,33.66004,9.160104
2980,88.710495,60.189808,33.684734,9.168613
2990,88.71899,60.214417,33.709263,9.177058
3000,88.727394,60.238823,33.733578,9.1854315
3010,88.735756,60.263035,33.757713,9.193742
3020,88.74406,60.287045,33.781643,9.201978
3030,88.752266,60.31086,33.805397,9.210149
3040,88.76045,60.334457,33.828934,9.218258
3050,88.76855,60.357887,33.852287,9.226301
3060,88.77657,60.381126,33.875446,9.23427
3070,88.78455,60.404163,33.898426,9.242185
3080,88.792496,60.427,33.921204,9.25003
3090,88.800354,60.44964,33.943806,9.257814
3100,88.80812,60.472084,33.96622,9.265534
3110,88.81582,60.49436,33.988438,9.2731905
3120,88.82347,60.51644,34.010494,9.280786
3130,88.831055,60.538364,34.032356,9.288321
3140,88.838585,60.560097,34.054035,9.295791
3150,88.84604,60.58165,34.07554,9.303203
3160,88.8534,60.603024,34.096878,9.31055
3170,88.86073,60.62423,34.118042,9.317836
3180,88.868004,60.645237,34.13905,9.325067
3190,88.87521,60.666103,34.159847,9.332235
3200,88.88235,60.686794,34.18047,9.339353
3210,88.889435,60.7073,34.20096,9.34641
3220,88.896454,60.72764,34.221287,9.353406
3230,88.90338,60.747814,34.241436,9.360349
3240,88.91031,60.767838,34.26139,9.367236
3250,88.917145,60.78767,34.28119,9.374065
3260,88.92399,60.807373,34.300846,9.380841
3270,88.93072,60.82688,34.32032,9.387555
3280,88.93741,60.846245,34.33965,9.394215
3290,88.944016,60.86545,34.358814,9.400825
3300,88.95059,60.884495,34.37782,9.407382
3310,88.95712,60.90337,34.396667,9.413885
3320,88.963585,60.9221,34.415375,9.420334
3330,88.97002,60.94066,34.433903,9.426733
3340,88.97639,60.95908,34.452305,9.43308
3350,88.982735,60.977367,34.470554,9.439371
3360,88.98897,60.995487,34.48864,9.445607
3370,88.99516,61.013447,34.50658,9.451795
3380,89.001305,61.031284,34.52439,9.4579315
3390,89.0074,61.048973,34.542034,9.464022
3400,89.01342,61.06651,34.559547,9.470055
3410,89.01939,61.08389,34.57691,9.476045
3420,89.02535,61.101135,34.594147,9.481996
3430,89.03124,61.118237,34.61123,9.48789
3440,89.03712,61.135193,34.628178,9.493734
3450,89.04295,61.152,34.644985,9.499535
3460,89.048706,61.168686,34.661655,9.5052805
3470,89.05441,61.18523,34.67818,9.5109825
3480,89.06006,61.20163,34.69459,9.516642
3490,89.06568,61.217922,34.71085,9.522247
3500,89.07123,61.234074,34.726974,9.527812
3510,89.076744,61.250095,34.74299,9.533332
3520,89.08222,61.265972,34.758854,9.538806
3530,89.08767,61.281708,34.774593,9.544231
3540,89.09307,61.297344,34.79019,9.549616
3550,89.09842,61.312828,34.805664,9.554959
3560,89.10376,61.328197,34.821014,9.560259
3570,89.109024,61.343422,34.836254,9.56551
